"コンテンツID
※空欄で構いません。特定の値を設定したい場合に入力してください。",name,nameKana,is_amateur,image,birthDate,birthPlace,height,almaMater,affiliation,bio,related_video
,伊波莉羅,イハリ イラ,FLASE,,2002/03/28 0:00:00,沖縄県,165,宜野座高等学校,フリー,,
,小堀 愛海,コホリ マナミ,FLASE,,2003/09/27 0:00:00,福岡県,163,沖学園高等学校,福岡センチュリーゴルフ倶楽部,,
,藤川玲奈,フジカワ レイナ,FLASE,,2003/09/28 0:00:00,福岡県,159,沖学園,フリー,,
,池ヶ谷 瑠菜,イケガヤ ルナ,FLASE,,2003/07/26 0:00:00,三重県,156,津田学園高等学校,フリー,,
,竹原美悠,タケハラ ミユ,FLASE,,2003/12/24 0:00:00,熊本県,153,熊本国府高等学校,フリー,,
,谷山 理子,タニヤマ リコ,FLASE,,2001/12/15 0:00:00,鹿児島県,155,福岡魁誠高校,フリー,,
,権藤 可恋,コンドウ カレン,FLASE,,1995/10/11 0:00:00,佐賀県,163,福岡第一高等学校,フリー,,
,遠座 悠里,オンザ ユウリ,FLASE,,2001/01/10 0:00:00,,165,沖学園高校,フリー,,
,伊豆 里緒菜,イズ リオナ,FLASE,,1998/12/13 0:00:00,福岡県,151,沖学園,フリー,,
,岩切 美空,イワキリ ミソラ,FLASE,,2002/06/10 0:00:00,宮崎県,156,宮崎日本大学高等学校,フリー,,
,山﨑 琉日,ヤマサキ ルカ,FLASE,,1995/05/22 0:00:00,福岡県,158,沖学園高校,フリー,,
,古賀 衣桜,コガ リサ,FLASE,,2003/03/21 0:00:00,熊本県,158,熊本国府高校,フリー,,
,古賀 妃,コガ キサキ,FLASE,,2000/05/25 0:00:00,熊本県,152,熊本国府高校,フリー,,
,柳井 紗奈,ヤナイ サナ,FLASE,,1998/05/15 0:00:00,福岡県,155,福岡第一,フリー,,
,金城 和歌奈,キンジョウ ワカナ,FLASE,,1999/09/22 0:00:00,沖縄県,155,糸満市立糸満高等学校,フリー,,
,渡邊 詩織,ワタナベ シオリ,FLASE,,1998/11/03 0:00:00,宮崎県,161,流通科学大学,フリー,,
,町田 理紗,マチダ リサ,FLASE,,1999/12/27 0:00:00,長崎県,153,長崎明誠高校,フリー,,
,識西 諭里,オニシ ユリ,FLASE,,1997/04/16 0:00:00,福岡県,167,福岡第一高校,フリー,,
,松島 華暖,マツシマ カノン,FLASE,,1999/06/26 0:00:00,福岡県,154,福岡第一高校,フリー,,
,青木 香奈子,アオキ カナコ,FLASE,,2000/04/11 0:00:00,宮崎県,165,宮崎日本大学高等学校,フリー,,
,木村 綾杏,キムラ アヤカ,FLASE,,1994/04/27 0:00:00,石川県,163,金沢学院大学 ゴルフ部,フリー,,
,田中 梨夏子,タナカ リカコ,FLASE,,1997/07/01 0:00:00,福岡県,155,柳川高校,フリー,,
,天本 遼香,アモモト ハルカ,FLASE,,1998/07/23 0:00:00,福岡県,162,第一学院高等学校,明治安田,2021年プロテスト合格,
,菊池 玲花,キクチレイカ,FLASE,,1998/12/09 0:00:00,熊本県,168,熊本国府高校,フリー,,
,小貫 麗,オヌキ ウララ,FLASE,,1999/05/22 0:00:00,熊本県,156,熊本国府高校,フリー,,
,小竹 莉乃,コタケ リノ,FLASE,,1991/09/15 0:00:00,熊本県,156.5,東海大学附属第二高等学校,フリー,,
,西 みきこ,ニシ ミキコ,FLASE,,1991/01/21 0:00:00,熊本県,160,錦ヶ丘中学校,フリー,,
,小竹 瑠奈,コタケ ルナ,FLASE,,1996/12/04 0:00:00,熊本県,171,熊本国府高等学校,フリー,,
,園田 あみ,ソノダ アミ,FLASE,,1998/04/23 0:00:00,大分県,156,大分高校,フリー,,
,松永 王花,マツナガ キミカ,FLASE,,1999/06/29 0:00:00,福岡県,170,沖学園,サンユー企画,,
,蔵座 一華,クラザ イチカ,FLASE,,1998/11/05 0:00:00,熊本県,145,東海大学熊本星翔高校,フリー,,
,金城 茉南,キンジョウ マナ,FLASE,,1999/01/03 0:00:00,沖縄県,144,岡山作陽高等学校,フリー,,
,井上 りこ,イノウエ リコ,FLASE,,1993/04/10 0:00:00,福岡県,164,沖学園高校,フリー,,
,大城 美南海,オオシロ ミナミ,FLASE,,1995/02/15 0:00:00,沖縄県,156,東北高校→熊本国府高校,フリー,,
,八巻 セイラ,ヤマキ セイラ,FLASE,,1997/02/14 0:00:00,オーストラリア,172,Saint Stephens college,フリー,,
